Time,UE_ID,X,Y,VelocityX,VelocityY,Event
2,1,420,300,20,0,POSITION
2.5,2,602.5,305,25,0,POSITION
3,3,790,310,30,0,POSITION
4,1,460,300,20,0,POSITION
4.5,2,652.5,305,25,0,POSITION
5,3,730,310,-30,0,POSITION
6,1,500,300,20,0,POSITION
6.5,2,702.5,305,25,0,POSITION
7,3,670,310,-30,0,POSITION
8,1,540,300,20,0,POSITION
8.5,2,652.5,305,-25,0,POSITION
9,3,610,310,-30,0,POSITION
10,1,580,300,20,0,POSITION
10.5,2,602.5,305,-25,0,POSITION
11,3,550,310,-30,0,POSITION
12,1,620,300,20,0,POSITION
12.5,2,552.5,305,-25,0,POSITION
13,3,490,310,-30,0,POSITION
14,1,660,300,20,0,POSITION
14.5,2,502.5,305,-25,0,POSITION
15,3,430,310,-30,0,POSITION
16,1,700,300,20,0,POSITION
16.5,2,452.5,305,-25,0,POSITION
17,3,370,310,-30,0,POSITION
18,1,740,300,20,0,POSITION
18.5,2,402.5,305,-25,0,POSITION
19,3,310,310,-30,0,POSITION
20,1,700,300,20,0,REVERSE
20,1,700,300,20,0,POSITION
20.5,2,352.5,305,-25,0,POSITION
21,3,250,310,-30,0,POSITION
22,1,740,300,20,0,POSITION
22.5,2,302.5,305,-25,0,POSITION
23,3,310,310,30,0,POSITION
24,1,700,300,-20,0,POSITION
24.5,2,252.5,305,-25,0,POSITION
25,3,370,310,30,0,POSITION
26,1,660,300,-20,0,POSITION
26.5,2,302.5,305,25,0,POSITION
27,3,430,310,30,0,POSITION
28,1,620,300,-20,0,POSITION
28.5,2,352.5,305,25,0,POSITION
29,3,490,310,30,0,POSITION
30,2,390,305,-25,0,REVERSE
30,1,580,300,-20,0,POSITION
30.5,2,377.5,305,-25,0,POSITION
31,3,550,310,30,0,POSITION
32,1,540,300,-20,0,POSITION
32.5,2,327.5,305,-25,0,POSITION
33,3,610,310,30,0,POSITION
34,1,500,300,-20,0,POSITION
34.5,2,277.5,305,-25,0,POSITION
35,3,670,310,30,0,POSITION
36,1,460,300,-20,0,POSITION
36.5,2,327.5,305,25,0,POSITION
37,3,730,310,30,0,POSITION
38,1,420,300,-20,0,POSITION
38.5,2,377.5,305,25,0,POSITION
39,3,670,310,-30,0,POSITION
40,1,380,300,20,0,REVERSE
40,3,640,310,30,0,REVERSE
40,1,380,300,20,0,POSITION
40.5,2,427.5,305,25,0,POSITION
41,3,670,310,30,0,POSITION
42,1,420,300,20,0,POSITION
42.5,2,477.5,305,25,0,POSITION
43,3,730,310,30,0,POSITION
44,1,460,300,20,0,POSITION
44.5,2,527.5,305,25,0,POSITION
45,3,670,310,-30,0,POSITION
46,1,500,300,20,0,POSITION
46.5,2,577.5,305,25,0,POSITION
47,3,610,310,-30,0,POSITION
48,1,540,300,20,0,POSITION
48.5,2,627.5,305,25,0,POSITION
49,3,550,310,-30,0,POSITION
50,2,665,305,-25,0,REVERSE
50,1,580,300,20,0,POSITION
50.5,2,652.5,305,-25,0,POSITION
51,3,490,310,-30,0,POSITION
52,1,620,300,20,0,POSITION
52.5,2,602.5,305,-25,0,POSITION
53,3,430,310,-30,0,POSITION
54,1,660,300,20,0,POSITION
54.5,2,552.5,305,-25,0,POSITION
55,3,370,310,-30,0,POSITION
56,1,700,300,20,0,POSITION
56.5,2,502.5,305,-25,0,POSITION
57,3,310,310,-30,0,POSITION
58,1,740,300,20,0,POSITION
58.5,2,452.5,305,-25,0,POSITION
59,3,250,310,-30,0,POSITION
