Time,IMSI,UE_HO_Number,Source_Cell,Target_Cell,Event
0.803001,7,1,1,2,START
0.803001,8,1,2,3,START
0.807214,7,1,1,2,COMPLETE
0.807214,8,1,2,3,COMPLETE
1.003,5,1,2,3,START
1.00721,5,1,2,3,COMPLETE
1.203,4,1,1,2,START
1.20721,4,1,1,2,COMPLETE
1.403,1,1,1,2,START
1.403,2,1,2,3,START
1.40721,1,1,1,2,COMPLETE
1.40721,2,1,2,3,COMPLETE
3.003,10,1,2,3,START
3.00721,10,1,2,3,COMPLETE
3.403,7,2,2,3,START
3.40721,7,2,2,3,COMPLETE
3.603,4,2,2,3,START
3.60721,4,2,2,3,COMPLETE
4.003,1,2,2,3,START
4.00721,1,2,2,3,COMPLETE
8.203,3,1,3,2,START
8.203,7,3,3,2,START
8.20721,3,1,3,2,COMPLETE
8.20721,7,3,3,2,COMPLETE
8.403,5,2,3,2,START
8.40721,5,2,3,2,COMPLETE
8.803,4,3,3,2,START
8.80721,4,3,3,2,COMPLETE
9.003,2,2,3,2,START
9.00721,2,2,3,2,COMPLETE
9.403,1,3,3,2,START
9.40721,1,3,3,2,COMPLETE
10.403,3,2,2,1,START
10.4072,3,2,2,1,COMPLETE
10.603,5,3,2,1,START
10.603,7,4,2,1,START
10.6072,5,3,2,1,COMPLETE
10.6072,7,4,2,1,COMPLETE
11.403,2,3,2,1,START
11.403,10,2,3,2,START
11.403,4,4,2,1,START
11.4072,2,3,2,1,COMPLETE
11.4072,4,4,2,1,COMPLETE
11.4072,10,2,3,2,COMPLETE
11.603,6,1,3,2,START
11.603,8,2,3,2,START
11.6072,6,1,3,2,COMPLETE
11.6072,8,2,3,2,COMPLETE
12.003,1,4,2,1,START
12.0072,1,4,2,1,COMPLETE
13.603,6,2,2,1,START
13.6072,6,2,2,1,COMPLETE
14.003,8,3,2,1,START
14.003,10,3,2,1,START
14.0072,8,3,2,1,COMPLETE
14.0072,10,3,2,1,COMPLETE
14.803,5,4,1,2,START
14.803,9,1,3,2,START
14.8072,5,4,1,2,COMPLETE
14.8072,9,1,3,2,COMPLETE
16.803,7,5,1,2,START
16.8072,7,5,1,2,COMPLETE
17.003,3,3,1,2,START
17.003,9,2,2,1,START
17.0072,9,2,2,1,COMPLETE
17.0072,3,3,1,2,COMPLETE
17.203,4,5,1,2,START
17.203,5,5,2,3,START
17.2072,4,5,1,2,COMPLETE
17.2072,5,5,2,3,COMPLETE
17.403,1,5,1,2,START
17.4072,1,5,1,2,COMPLETE
18.603,8,4,1,2,START
18.6072,8,4,1,2,COMPLETE
19.203,2,4,1,2,START
19.203,3,4,2,3,START
19.2072,2,4,1,2,COMPLETE
19.2072,3,4,2,3,COMPLETE
19.403,7,6,2,3,START
19.4072,7,6,2,3,COMPLETE
19.603,4,6,2,3,START
19.6072,4,6,2,3,COMPLETE
20.003,1,6,2,3,START
20.0072,1,6,2,3,COMPLETE
20.403,10,4,1,2,START
20.4072,10,4,1,2,COMPLETE
20.603,9,3,1,2,START
20.6072,9,3,1,2,COMPLETE
20.803,6,3,1,2,START
20.803,8,5,2,3,START
20.8072,6,3,1,2,COMPLETE
20.8072,8,5,2,3,COMPLETE
21.403,1,7,3,2,START
21.403,2,5,2,3,START
21.4072,1,7,3,2,COMPLETE
21.4072,2,5,2,3,COMPLETE
22.603,9,4,2,3,START
22.6072,9,4,2,3,COMPLETE
23.003,6,4,2,3,START
23.003,10,5,2,3,START
23.0072,6,4,2,3,COMPLETE
23.0072,10,5,2,3,COMPLETE
24.003,1,8,2,1,START
24.0072,1,8,2,1,COMPLETE
24.203,3,5,3,2,START
24.203,7,7,3,2,START
24.2072,3,5,3,2,COMPLETE
24.2072,7,7,3,2,COMPLETE
24.403,5,6,3,2,START
24.4072,5,6,3,2,COMPLETE
24.803,4,7,3,2,START
24.8072,4,7,3,2,COMPLETE
26.403,3,6,2,1,START
26.4072,3,6,2,1,COMPLETE
26.603,5,7,2,1,START
26.603,7,8,2,1,START
26.6072,5,7,2,1,COMPLETE
26.6072,7,8,2,1,COMPLETE
26.803,9,5,3,2,START
26.8072,9,5,3,2,COMPLETE
27.403,4,8,2,1,START
27.403,10,6,3,2,START
27.4072,4,8,2,1,COMPLETE
27.4072,10,6,3,2,COMPLETE
27.603,6,5,3,2,START
27.603,8,6,3,2,START
27.6072,6,5,3,2,COMPLETE
27.6072,8,6,3,2,COMPLETE
29.003,2,6,3,2,START
29.003,9,6,2,1,START
29.0072,9,6,2,1,COMPLETE
29.0072,2,6,3,2,COMPLETE
29.403,1,9,1,2,START
29.4072,1,9,1,2,COMPLETE
29.603,6,6,2,1,START
29.6072,6,6,2,1,COMPLETE
30.003,8,7,2,1,START
30.003,10,7,2,1,START
30.0072,8,7,2,1,COMPLETE
30.0072,10,7,2,1,COMPLETE
30.803,5,8,1,2,START
30.8072,5,8,1,2,COMPLETE
32.003,1,10,2,3,START
32.0072,1,10,2,3,COMPLETE
32.403,2,7,2,3,START
32.4072,2,7,2,3,COMPLETE
32.603,9,7,1,2,START
32.6072,9,7,1,2,COMPLETE
32.803,7,9,1,2,START
32.8072,7,9,1,2,COMPLETE
33.003,3,7,1,2,START
33.0072,3,7,1,2,COMPLETE
33.203,4,9,1,2,START
33.203,5,9,2,3,START
33.2072,4,9,1,2,COMPLETE
33.2072,5,9,2,3,COMPLETE
34.603,8,8,1,2,START
34.603,9,8,2,3,START
34.6072,8,8,1,2,COMPLETE
34.6072,9,8,2,3,COMPLETE
35.203,3,8,2,3,START
35.2072,3,8,2,3,COMPLETE
35.403,7,10,2,3,START
35.4072,7,10,2,3,COMPLETE
35.603,4,10,2,3,START
35.6072,4,10,2,3,COMPLETE
36.403,10,8,1,2,START
36.4072,10,8,1,2,COMPLETE
36.803,6,7,1,2,START
36.803,8,9,2,3,START
36.8072,6,7,1,2,COMPLETE
36.8072,8,9,2,3,COMPLETE
37.403,1,11,3,2,START
37.4072,1,11,3,2,COMPLETE
38.003,2,8,3,2,START
38.0072,2,8,3,2,COMPLETE
38.803,9,9,3,2,START
38.8072,9,9,3,2,COMPLETE
39.003,6,8,2,3,START
39.003,10,9,2,3,START
39.0072,6,8,2,3,COMPLETE
39.0072,10,9,2,3,COMPLETE
40.003,1,12,2,1,START
40.0072,1,12,2,1,COMPLETE
40.203,3,9,3,2,START
40.203,7,11,3,2,START
40.2072,3,9,3,2,COMPLETE
40.2072,7,11,3,2,COMPLETE
40.403,2,9,2,1,START
40.403,5,10,3,2,START
40.4072,2,9,2,1,COMPLETE
40.4072,5,10,3,2,COMPLETE
40.803,4,11,3,2,START
40.8072,4,11,3,2,COMPLETE
41.003,9,10,2,1,START
41.0072,9,10,2,1,COMPLETE
41.203,3,10,2,3,START
41.2072,3,10,2,3,COMPLETE
41.403,1,13,1,2,START
41.4072,1,13,1,2,COMPLETE
42.603,5,11,2,1,START
42.603,7,12,2,1,START
42.6072,5,11,2,1,COMPLETE
42.6072,7,12,2,1,COMPLETE
43.403,4,12,2,1,START
43.403,10,10,3,2,START
43.4072,4,12,2,1,COMPLETE
43.4072,10,10,3,2,COMPLETE
43.603,6,9,3,2,START
43.603,8,10,3,2,START
43.6072,6,9,3,2,COMPLETE
43.6072,8,10,3,2,COMPLETE
44.003,1,14,2,3,START
44.0072,1,14,2,3,COMPLETE
44.603,9,11,1,2,START
44.6072,9,11,1,2,COMPLETE
45.603,6,10,2,1,START
45.6072,6,10,2,1,COMPLETE
46.003,8,11,2,1,START
46.003,10,11,2,1,START
46.0072,8,11,2,1,COMPLETE
46.0072,10,11,2,1,COMPLETE
46.203,2,10,1,2,START
46.203,3,11,3,2,START
46.2072,2,10,1,2,COMPLETE
46.2072,3,11,3,2,COMPLETE
46.603,9,12,2,3,START
46.6072,9,12,2,3,COMPLETE
46.803,5,12,1,2,START
46.8072,5,12,1,2,COMPLETE
48.403,2,11,2,3,START
48.403,3,12,2,1,START
48.4072,3,12,2,1,COMPLETE
48.4072,2,11,2,3,COMPLETE
48.803,7,13,1,2,START
48.8072,7,13,1,2,COMPLETE
49.203,4,13,1,2,START
49.203,5,13,2,3,START
49.2072,4,13,1,2,COMPLETE
49.2072,5,13,2,3,COMPLETE
49.403,1,15,3,2,START
49.4072,1,15,3,2,COMPLETE
50.603,8,12,1,2,START
50.6072,8,12,1,2,COMPLETE
50.803,9,13,3,2,START
50.8072,9,13,3,2,COMPLETE
51.403,7,14,2,3,START
51.4072,7,14,2,3,COMPLETE
52.003,1,16,2,1,START
52.0072,1,16,2,1,COMPLETE
52.403,4,14,2,1,START
52.403,10,12,1,2,START
52.4072,4,14,2,1,COMPLETE
52.4072,10,12,1,2,COMPLETE
52.803,6,11,1,2,START
52.803,8,13,2,3,START
52.8072,6,11,1,2,COMPLETE
52.8072,8,13,2,3,COMPLETE
53.003,2,12,3,2,START
53.003,9,14,2,1,START
53.0072,9,14,2,1,COMPLETE
53.0072,2,12,3,2,COMPLETE
55.003,3,13,1,2,START
55.003,6,12,2,3,START
55.003,10,13,2,3,START
55.0072,3,13,1,2,COMPLETE
55.0072,6,12,2,3,COMPLETE
55.0072,10,13,2,3,COMPLETE
55.403,2,13,2,1,START
55.4072,2,13,2,1,COMPLETE
56.203,7,15,3,2,START
56.2072,7,15,3,2,COMPLETE
56.403,5,14,3,2,START
56.4072,5,14,3,2,COMPLETE
56.603,9,15,1,2,START
56.6072,9,15,1,2,COMPLETE
57.203,3,14,2,3,START
57.2072,3,14,2,3,COMPLETE
57.403,1,17,1,2,START
57.4072,1,17,1,2,COMPLETE
58.603,5,15,2,1,START
58.603,9,16,2,3,START
58.603,7,16,2,1,START
58.6072,5,15,2,1,COMPLETE
58.6072,7,16,2,1,COMPLETE
58.6072,9,16,2,3,COMPLETE
59.403,10,14,3,2,START
59.4072,10,14,3,2,COMPLETE
59.603,6,13,3,2,START
59.603,8,14,3,2,START
59.6072,6,13,3,2,COMPLETE
59.6072,8,14,3,2,COMPLETE
